KEY,TICKER,DATE,TIME,CLOSE
192,VKCO,2024-05-29,22:00:00,629.1860631349782
193,VKCO,2024-05-29,23:00:00,629.1860631349782
194,VKCO,2024-05-30,10:00:00,629.1860631349782
195,VKCO,2024-05-30,11:00:00,629.1860631349782
196,VKCO,2024-05-30,12:00:00,629.1860631349782
197,VKCO,2024-05-30,13:00:00,629.1860631349782
198,VKCO,2024-05-30,14:00:00,629.1860631349782
199,VKCO,2024-05-30,15:00:00,629.1860631349782
200,VKCO,2024-05-30,16:00:00,629.1860631349782
201,VKCO,2024-05-30,17:00:00,629.1860631349782
202,VKCO,2024-05-30,18:00:00,629.1860631349782
203,VKCO,2024-05-30,20:00:00,629.1860631349782
204,VKCO,2024-05-30,21:00:00,629.1860631349782
205,VKCO,2024-05-30,22:00:00,629.1860631349782
206,VKCO,2024-05-30,23:00:00,629.1860631349782
207,VKCO,2024-05-31,10:00:00,629.1860631349782
208,VKCO,2024-05-31,11:00:00,629.1860631349782
209,VKCO,2024-05-31,12:00:00,629.1860631349782
210,VKCO,2024-05-31,13:00:00,629.1860631349782
211,VKCO,2024-05-31,14:00:00,629.1860631349782
212,VKCO,2024-05-31,15:00:00,629.1860631349782
213,VKCO,2024-05-31,16:00:00,629.1860631349782
214,VKCO,2024-05-31,17:00:00,629.1860631349782
215,VKCO,2024-05-31,18:00:00,629.1860631349782
216,VKCO,2024-05-31,20:00:00,629.1860631349782
217,VKCO,2024-05-31,21:00:00,629.1860631349782
218,VKCO,2024-05-31,22:00:00,629.1860631349782
219,VKCO,2024-05-31,23:00:00,629.1860631349782
220,VKCO,2024-06-03,10:00:00,629.1860631349782
221,VKCO,2024-06-03,11:00:00,629.1860631349782
222,VKCO,2024-06-03,12:00:00,629.1860631349782
223,VKCO,2024-06-03,13:00:00,629.1860631349782
224,VKCO,2024-06-03,14:00:00,629.1860631349782
225,VKCO,2024-06-03,15:00:00,629.1860631349782
226,VKCO,2024-06-03,16:00:00,629.1860631349782
227,VKCO,2024-06-03,17:00:00,629.1860631349782
228,VKCO,2024-06-03,18:00:00,629.1860631349782
229,VKCO,2024-06-03,20:00:00,629.1860631349782
230,VKCO,2024-06-03,21:00:00,629.1860631349782
231,VKCO,2024-06-03,22:00:00,629.1860631349782
232,VKCO,2024-06-03,23:00:00,629.1860631349782
233,VKCO,2024-06-04,10:00:00,629.1860631349782
234,VKCO,2024-06-04,11:00:00,629.1860631349782
235,VKCO,2024-06-04,12:00:00,629.1860631349782
236,VKCO,2024-06-04,13:00:00,629.1860631349782
237,VKCO,2024-06-04,14:00:00,629.1860631349782
238,VKCO,2024-06-04,15:00:00,629.1860631349782
239,VKCO,2024-06-04,16:00:00,629.1860631349782
240,VKCO,2024-06-04,17:00:00,629.1860631349782
241,VKCO,2024-06-04,18:00:00,629.1860631349782
242,VKCO,2024-06-04,20:00:00,629.1860631349782
243,VKCO,2024-06-04,21:00:00,629.1860631349782
244,VKCO,2024-06-04,22:00:00,629.1860631349782
245,VKCO,2024-06-04,23:00:00,629.1860631349782
246,VKCO,2024-06-05,10:00:00,629.1860631349782
247,VKCO,2024-06-05,11:00:00,629.1860631349782
248,VKCO,2024-06-05,12:00:00,629.1860631349782
249,VKCO,2024-06-05,13:00:00,629.1860631349782
250,VKCO,2024-06-05,14:00:00,629.1860631349782
251,VKCO,2024-06-05,15:00:00,629.1860631349782
252,VKCO,2024-06-05,16:00:00,629.1860631349782
253,VKCO,2024-06-05,17:00:00,629.1860631349782
254,VKCO,2024-06-05,18:00:00,629.1860631349782
255,VKCO,2024-06-05,20:00:00,629.1860631349782
256,VKCO,2024-06-05,21:00:00,629.1860631349782
257,VKCO,2024-06-05,22:00:00,629.1860631349782
258,VKCO,2024-06-05,23:00:00,629.1860631349782
259,VKCO,2024-06-06,10:00:00,629.1860631349782
260,VKCO,2024-06-06,11:00:00,629.1860631349782
261,VKCO,2024-06-06,12:00:00,629.1860631349782
262,VKCO,2024-06-06,13:00:00,629.1860631349782
263,VKCO,2024-06-06,14:00:00,629.1860631349782
264,VKCO,2024-06-06,15:00:00,629.1860631349782
265,VKCO,2024-06-06,16:00:00,629.1860631349782
266,VKCO,2024-06-06,17:00:00,629.1860631349782
267,VKCO,2024-06-06,18:00:00,629.1860631349782
268,VKCO,2024-06-06,20:00:00,629.1860631349782
269,VKCO,2024-06-06,21:00:00,629.1860631349782
270,VKCO,2024-06-06,22:00:00,629.1860631349782
271,VKCO,2024-06-06,23:00:00,629.1860631349782
272,MTSS,2024-06-07,10:00:00,295.752991100101
273,MTSS,2024-06-07,11:00:00,295.752991100101
274,MTSS,2024-06-07,12:00:00,295.752991100101
275,MTSS,2024-06-07,13:00:00,295.752991100101
276,MTSS,2024-06-07,14:00:00,295.752991100101
277,MTSS,2024-06-07,15:00:00,295.752991100101
278,MTSS,2024-06-07,16:00:00,295.752991100101
279,MTSS,2024-06-07,17:00:00,295.752991100101
280,MTSS,2024-06-07,18:00:00,295.752991100101
281,MTSS,2024-06-07,20:00:00,295.752991100101
282,MTSS,2024-06-07,21:00:00,295.752991100101
283,MTSS,2024-06-07,22:00:00,295.752991100101
284,MTSS,2024-06-07,23:00:00,295.752991100101
285,MTSS,2024-06-10,10:00:00,295.752991100101
286,MTSS,2024-06-10,11:00:00,295.752991100101
287,MTSS,2024-06-10,12:00:00,295.752991100101
288,MTSS,2024-06-10,13:00:00,295.752991100101
289,MTSS,2024-06-10,14:00:00,295.752991100101
290,MTSS,2024-06-10,15:00:00,295.752991100101
291,MTSS,2024-06-10,16:00:00,295.752991100101
292,MTSS,2024-06-10,17:00:00,295.752991100101
293,MTSS,2024-06-10,18:00:00,295.752991100101
294,MTSS,2024-06-10,20:00:00,295.752991100101
295,MTSS,2024-06-10,21:00:00,295.752991100101
296,MTSS,2024-06-10,22:00:00,295.752991100101
297,MTSS,2024-06-10,23:00:00,295.752991100101
298,SMLT,2024-06-07,10:00:00,3675.600197035091
299,SMLT,2024-06-07,11:00:00,3675.600197035091
300,SMLT,2024-06-07,12:00:00,3675.600197035091
301,SMLT,2024-06-07,13:00:00,3675.600197035091
302,SMLT,2024-06-07,14:00:00,3675.600197035091
303,SMLT,2024-06-07,15:00:00,3675.600197035091
304,SMLT,2024-06-07,16:00:00,3675.600197035091
305,SMLT,2024-06-07,17:00:00,3675.600197035091
306,SMLT,2024-06-07,18:00:00,3675.600197035091
307,SMLT,2024-06-07,20:00:00,3675.600197035091
308,SMLT,2024-06-07,21:00:00,3675.600197035091
309,SMLT,2024-06-07,22:00:00,3675.600197035091
310,SMLT,2024-06-07,23:00:00,3675.600197035091
311,SMLT,2024-06-10,10:00:00,3675.600197035091
312,SMLT,2024-06-10,11:00:00,3675.600197035091
313,SMLT,2024-06-10,12:00:00,3675.600197035091
314,SMLT,2024-06-10,13:00:00,3675.600197035091
315,SMLT,2024-06-10,14:00:00,3675.600197035091
316,SMLT,2024-06-10,15:00:00,3675.600197035091
317,SMLT,2024-06-10,16:00:00,3675.600197035091
318,SMLT,2024-06-10,17:00:00,3675.600197035091
319,SMLT,2024-06-10,18:00:00,3675.600197035091
320,SMLT,2024-06-10,20:00:00,3675.600197035091
321,SMLT,2024-06-10,21:00:00,3675.600197035091
